timestamp,gpu_2_utilization,gpu_2_memory_used,gpu_2_power,epoch
3.1499922275543213,22.0,669.0,70.32,0.0
5.870256423950195,45.0,669.0,70.31,0.0
8.714781761169434,43.0,669.0,70.51,0.0
11.593656778335571,25.0,669.0,70.65,0.0
12.0306556224823,19.0,669.0,70.25,
12.43373966217041,19.0,669.0,70.34,
12.838913679122925,19.0,669.0,70.45,
13.24009084701538,18.0,669.0,70.14,
16.01119089126587,24.0,671.0,70.53,1.0
18.840579748153687,27.0,671.0,70.65,1.0
21.557483673095703,45.0,671.0,70.34,1.0
24.24273157119751,24.0,671.0,71.93,1.0
24.641241550445557,24.0,671.0,90.35,
25.01111626625061,28.0,671.0,72.21,
25.377344846725464,29.0,671.0,71.73,
25.732165813446045,27.0,671.0,75.76,
28.44051957130432,44.0,671.0,78.53,2.0
31.14522075653076,40.0,671.0,74.87,2.0
33.79636263847351,45.0,671.0,70.45,2.0
36.50101947784424,25.0,671.0,94.48,2.0
36.87729477882385,26.0,671.0,75.07,
37.244619846343994,28.0,671.0,70.65,
37.603161096572876,29.0,671.0,92.05,
37.961769342422485,23.0,671.0,71.04,
40.61441469192505,47.0,671.0,103.13,3.0
43.29081630706787,45.0,671.0,72.31,3.0
45.972440004348755,31.0,671.0,70.84,3.0
48.58468508720398,32.0,671.0,71.04,3.0
48.95856428146362,23.0,671.0,89.38,
49.36569833755493,14.0,671.0,88.41,
49.7403781414032,26.0,671.0,75.46,
50.12456154823303,26.0,671.0,71.43,
52.83568501472473,39.0,673.0,72.32,4.0
55.481404304504395,46.0,673.0,95.29,4.0
58.16263389587402,44.0,673.0,72.69,4.0
60.898069620132446,43.0,673.0,86.07,4.0
61.2736759185791,25.0,673.0,71.24,
61.68098521232605,22.0,673.0,71.82,
62.04334259033203,20.0,673.0,70.34,
62.44615817070007,17.0,673.0,70.75,
65.14306879043579,45.0,673.0,70.15,5.0
67.87244462966919,31.0,673.0,70.45,5.0
70.54830145835876,45.0,673.0,92.04,5.0
73.28002262115479,27.0,673.0,71.42,5.0
73.652676820755,25.0,673.0,76.62,
74.0558512210846,25.0,673.0,76.43,
74.41593194007874,29.0,673.0,70.34,
74.81993508338928,25.0,673.0,70.25,
77.52318024635315,33.0,673.0,70.44,6.0
80.12565016746521,32.0,673.0,70.86,6.0
82.80044436454773,45.0,673.0,86.97,6.0
85.40092587471008,44.0,673.0,77.34,6.0
85.77377939224243,23.0,673.0,70.74,
86.12818312644958,21.0,673.0,88.84,
86.4864296913147,27.0,673.0,71.14,
86.8494918346405,29.0,673.0,70.54,
89.54453420639038,26.0,673.0,94.87,7.0
92.13751244544983,47.0,673.0,81.05,7.0
94.80016803741455,33.0,673.0,70.94,7.0
97.39932870864868,32.0,673.0,71.34,7.0
97.80089092254639,18.0,673.0,70.84,
98.20339894294739,17.0,673.0,70.54,
98.60997939109802,17.0,673.0,71.54,
98.97108030319214,23.0,673.0,76.62,
101.67638087272644,43.0,673.0,76.84,8.0
104.27747988700867,43.0,673.0,73.59,8.0
106.88064694404602,40.0,673.0,72.21,8.0
109.5661346912384,45.0,673.0,70.94,8.0
109.9395866394043,29.0,673.0,88.68,
110.30107688903809,26.0,673.0,71.92,
110.68510723114014,23.0,673.0,70.86,
111.05058693885803,17.0,673.0,72.13,
113.76330995559692,44.0,673.0,97.4,9.0
116.44612336158752,44.0,673.0,77.73,9.0
119.0631012916565,43.0,673.0,81.05,9.0
121.74822425842285,40.0,673.0,72.51,9.0
122.11903548240662,21.0,673.0,71.54,
122.50210905075073,18.0,673.0,91.63,
122.8708143234253,24.0,673.0,74.48,
123.23811531066895,28.0,673.0,70.94,
125.94346213340759,34.0,673.0,71.15,10.0
128.6016583442688,44.0,673.0,78.3,10.0
